# Rea-Sixty release codenames. Source-of-truth for the About-tab
# "Codename:" line. One entry per row: tag (with leading v) TAB codename.
# Parsed by extension/cmake/write_commit_count.cmake on every build —
# git describe must match the tag exactly (post-release dev builds with
# a `-N-gabc` suffix strip back to the base tag, so a v0.1.10 codename
# also shows on its dirty / post-release builds until the next tag).
# Frank picks each codename at release time; old versions without an
# entry render the About line empty.
v0.1.10	Prettyyyyy... Prettyyyyy... Pretty Good!
v0.1.11	Even Prettier
v0.1.12	Bizarre Gardening Accident
v0.1.13	Monday is my favorite time of year
v0.1.14	Dancing in the Dark
v0.1.15	My Blood is too thick for Nevada
v0.1.16	Boy, that escalated quickly!
v0.1.17	Off on the Charabanc!
v0.1.18	That's not a knife... that's a knife!
v0.1.19	Anchors Aweigh
v0.1.20	Behave!
v0.1.21	Stayin' Alive
v0.1.22	It's Suntory Time
v0.1.23	That's all he said?
v0.1.24	Scroll to Infinity and Beyond
v0.1.25	Catch the Game Last Night?
v0.1.26	Pineapple Express
v0.1.27	Randy - I AM the Liquor!
v0.1.28	I like them teeny, and toasty.
v0.1.29	Impossible to walk in this muck. No footing at all.
